,U,S
0,0.1,(-0.004125573393069108+0j)
1,0.11034482758620691,(-0.004975299552667993+0j)
2,0.1206896551724138,(-0.006020348615351799+0j)
3,0.1310344827586207,(-0.007347576760433992+0j)
4,0.1413793103448276,(-0.009028145766233881+0j)
5,0.1517241379310345,(-0.011170197066372138+0j)
6,0.1620689655172414,(-0.013912785188059306+0j)
7,0.1724137931034483,(-0.017430015668339273+0j)
8,0.1827586206896552,(-0.021920982037084362+0j)
9,0.1931034482758621,(-0.027569414922266108+0j)
10,0.20344827586206898,(-0.03446066819581161+0j)
11,0.2137931034482759,(-0.04246925129045399+0j)
12,0.2241379310344828,(-0.05106133667161486+0j)
13,0.23448275862068968,(-0.05965819922937227+0j)
14,0.24482758620689657,(-0.06775174671809217+0j)
15,0.2551724137931035,(-0.07470405283902135+0j)
16,0.2655172413793104,(-0.08014835106754718+0j)
17,0.27586206896551724,(-0.08390337129350971+0j)
18,0.28620689655172415,(-0.08742494437417639+0j)
19,0.29655172413793107,(-0.0901882308487064+0j)
20,0.306896551724138,(-0.09185209903099437+0j)
21,0.3172413793103449,(-0.09297274344404731+0j)
22,0.32758620689655177,(-0.09372189690260033+0j)
23,0.33793103448275863,(-0.09425594634272015+0j)
24,0.34827586206896555,(-0.09467291078055191+0j)
25,0.35862068965517246,(-0.09490970412509936+0j)
26,0.3689655172413794,(-0.09468879431628256+0j)
27,0.3793103448275863,(-0.09374705372338288+0j)
28,0.3896551724137931,(-0.09372692320968411+0j)
29,0.4,(-0.09099927213792651+0j)
