,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth
1,1.0,-98.59606731942141,0.025095687527894484,0.007234274552970987,8.0,13.0,33.0,11.0,11.0
2,2.0,-98.59822256383082,0.0021552444094083967,0.005079030143562591,12.0,26.0,66.0,17.0,21.0
3,3.0,-98.6001486882748,0.0019261244439832126,0.003152905699579378,16.0,39.0,99.0,17.0,21.0
4,4.0,-98.60216413094152,0.002015442666717604,0.001137463032861774,25.0,52.0,132.0,22.0,24.0
5,5.0,-98.60257190753305,0.00040777659152979595,0.0007296864413319781,30.0,65.0,165.0,25.0,30.0
6,6.0,-98.60295298686928,0.00038107933623621193,0.0003486071050957662,35.0,78.0,198.0,30.0,36.0
7,7.0,-98.60310417398672,0.00015118711743866697,0.00019741998765709923,24.0,81.0,205.0,30.0,39.0
8,8.0,-98.6032614342361,0.00015726024938089722,4.0159738276202006e-05,36.0,84.0,212.0,33.0,39.0
9,9.0,-98.60327497136907,1.3537132971919164e-05,2.6622605304282843e-05,40.0,87.0,219.0,33.0,42.0
10,10.0,-98.60328192150565,6.95013658003063e-06,1.9672468724252212e-05,33.0,100.0,252.0,38.0,48.0
11,11.0,-98.6032880948464,6.173340750592615e-06,1.3499127973659597e-05,36.0,113.0,285.0,43.0,54.0
12,12.0,-98.6032942419476,6.147101188958004e-06,7.352026784701593e-06,39.0,126.0,318.0,48.0,60.0
13,13.0,-98.60329877485181,4.532904213760958e-06,2.8191225709406353e-06,42.0,129.0,325.0,51.0,60.0
14,14.0,-98.60330046945495,1.6946031422548913e-06,1.124519428685744e-06,45.0,142.0,358.0,56.0,66.0
15,15.0,-98.60330050440773,3.495277667298069e-08,1.0895666520127634e-06,64.0,155.0,391.0,61.0,72.0
16,16.0,-98.6033005825653,7.815756930540374e-08,1.0114090827073596e-06,51.0,168.0,424.0,66.0,78.0
17,17.0,-98.60330068115859,9.859328997663397e-08,9.128157927307257e-07,54.0,171.0,431.0,69.0,81.0
18,18.0,-98.60330075405555,7.289696668522083e-08,8.399188260455048e-07,57.0,184.0,464.0,74.0,87.0
19,19.0,-98.6033007723862,1.833065255141264e-08,8.215881734940922e-07,80.0,187.0,471.0,74.0,87.0
20,20.0,-98.60330079562131,2.3235102730723156e-08,7.98353070763369e-07,84.0,190.0,478.0,77.0,90.0
21,21.0,-98.6033008175921,2.1970791408421064e-08,7.76382279354948e-07,88.0,203.0,511.0,82.0,96.0
22,22.0,-98.6033008438014,2.62093067249225e-08,7.501729726300255e-07,69.0,206.0,518.0,85.0,99.0
23,23.0,-98.60330102075903,1.769576272181439e-07,5.732153454118816e-07,72.0,209.0,525.0,88.0,102.0
