,qiskitsim_E
0,-7.631977268860667
1,-7.643307121615173
2,-7.637070762752766
3,-7.73442044100433
4,-7.781291557242253
5,-7.786086657637133
6,-7.784516829109295
7,-7.784536448307586
8,-7.784570215442851
9,-7.791789996636723
10,-7.7917908477275795
11,-7.791816601398321
12,-7.791832928701008
13,-7.791824132216591
14,-7.791818059065473
15,-7.791858272299191
16,-7.791896363388755
17,-7.7919168488797
18,-7.79193723583883
19,-7.7918957227798336
20,-7.79187805680685
21,-7.791904228542206
22,-7.79190322478623
23,-7.7919259355237696
24,-7.791925617233003
25,-7.791940401975464
26,-7.791950213486745
27,-7.791950413531256
28,-7.791884294318445
29,-7.791880107005076
30,-7.791915472948687
31,-7.791930684878488
32,-7.791931140244001
33,-7.791946727282978
34,-7.791947720881972
35,-7.791984639637083
36,-7.791995181269883
37,-7.79200312213731
38,-7.791952263559275
39,-7.791996242622664
40,-7.791946730896845
41,-7.791949256236237
42,-7.791933914394262
43,-7.791798070823196
44,-7.791879810740706
45,-7.791896502046352
46,-7.791909337763245
47,-7.791888336765111
48,-7.792041101961417
49,-7.792052356793334
50,-7.792052302471926
51,-7.792052347845596
52,-7.792060680861515
53,-7.792174492194632
54,-7.792178874374174
55,-7.792177531016068
56,-7.7921818598133115
57,-7.792184148058797
58,-7.79218437561726
59,-7.7921844396439095
60,-7.792184439678912
61,-7.79218443974129
62,-7.792184469516334
63,-7.792184470020042
64,-7.792184470020082
65,-7.792184470020185
